CUSTOMERID,RECENCY,FREQUENCY,MONETARY,RECENCY_SCORE,FREQUENCY_SCORE,MONETARY_SCORE,RFM_SCORE,SEGMENT
14646,2,73,280206.02,5,1,1,511,"POTENTIAL LOYALISTS"
18102,1,60,259657.30,5,1,1,511,"POTENTIAL LOYALISTS"
17450,9,46,194550.79,5,1,1,511,"POTENTIAL LOYALISTS"
16446,1,2,168472.50,5,4,1,541,"LOYAL CUSTOMER"
14911,2,201,143825.06,5,1,1,511,"POTENTIAL LOYALISTS"
12415,25,21,124914.53,4,1,1,411,"POTENTIAL LOYALISTS"
14156,10,55,117379.63,5,1,1,511,"POTENTIAL LOYALISTS"
17511,3,31,91062.38,5,1,1,511,"POTENTIAL LOYALISTS"
16029,39,63,81024.84,3,1,1,311,OTHERS
12346,326,1,77183.60,1,4,1,141,"LOYAL CUSTOMER"
16684,5,28,66653.56,5,1,1,511,"POTENTIAL LOYALISTS"
14096,5,17,65164.79,5,1,1,511,"POTENTIAL LOYALISTS"
13694,4,50,65039.62,5,1,1,511,"POTENTIAL LOYALISTS"
15311,1,91,60767.90,5,1,1,511,"POTENTIAL LOYALISTS"
13089,3,97,58825.83,5,1,1,511,"POTENTIAL LOYALISTS"
17949,2,45,58510.48,5,1,1,511,"POTENTIAL LOYALISTS"
15769,8,26,56252.72,5,1,1,511,"POTENTIAL LOYALISTS"
15061,4,48,54534.14,5,1,1,511,"POTENTIAL LOYALISTS"
14298,9,44,51527.30,5,1,1,511,"POTENTIAL LOYALISTS"
14088,11,13,50491.81,5,1,1,511,"POTENTIAL LOYALISTS"
15749,236,3,44534.30,1,2,1,121,"AT RISK"
12931,22,15,42055.96,4,1,1,411,"POTENTIAL LOYALISTS"
17841,2,124,40991.57,5,1,1,511,"POTENTIAL LOYALISTS"
15098,183,3,39916.50,1,2,1,121,"AT RISK"
13798,2,57,37153.85,5,1,1,511,"POTENTIAL LOYALISTS"
16013,4,47,37130.60,5,1,1,511,"POTENTIAL LOYALISTS"
16422,18,51,34684.40,4,1,1,411,"POTENTIAL LOYALISTS"
12748,1,209,33719.73,5,1,1,511,"POTENTIAL LOYALISTS"
